Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00634030455138496,0.0127750182488855,-0.00253612182055409,0,0,0,779.575829353543,104.663902606885,2.15382035157885E-19,-3.1701589064862E-20,209.243253187742,4.02390555833248E-21,104.663885218665,0,0,0,0,0,0,package://human_gripper/meshes/base_link.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/base_link.STL,,ground-1;base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
forearm_link,-4.77540505455796E-07,-0.113350147515814,1.68465653167629E-07,0,0,0,12.0783072555266,0.0563231524384721,9.60478297477321E-08,-1.35452302599274E-05,0.00565540642784919,-2.22869048134897E-08,0.0577408713954579,0,0,0,0,0,0,package://human_gripper/meshes/forearm_link.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/forearm_link.STL,,forearm-1,Origin_forearm_joint,Axis_forearm_joint,forearm_joint,revolute,0,0,0.0762,-1.5708,0,-1.5708,base_link,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
wrist_link,-3.54827341787243E-09,0.015834457280835,9.20907958153161E-09,0,0,0,0.655755126741823,0.000171746019698482,4.60377062089149E-12,9.03072156882194E-11,0.000132861214111197,-7.82107207987216E-11,0.000161699361151699,0,0,0,0,0,0,package://human_gripper/meshes/wrist_link.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/wrist_link.STL,,forearm2-1,Origin_wrist_joint,Axis_wrist_joint,wrist_joint,revolute,0,-0.26035,0,3.1416,0,0,forearm_link,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
palm_link,-0.00133454641740369,0.0604857930043962,-0.000847620366275223,0,0,0,2.21181125890624,0.00149018247410878,1.91127863922923E-05,1.41042568019278E-05,0.000910318631613756,1.85684897250999E-05,0.0022313457033219,0,0,0,0,0,0,package://human_gripper/meshes/palm_link.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/palm_link.STL,,palm-1,Origin_palm_joint,Axis_palm_joint,palm_joint,revolute,0,0.01778,0,3.1416,0,3.1416,wrist_link,0,1,0,0,0,-1.1618,1.1618,,,,,,,,
thumb_link1,0.00901683401057651,0.00903716742958728,6.93889390390723E-18,0,0,0,0.0492845244427773,3.81144161579786E-06,1.63250192709397E-07,-2.50222135297291E-23,1.1797655035283E-06,-1.27054942088145E-21,3.7872566212501E-06,0,0,0,0,0,0,package://human_gripper/meshes/thumb_link1.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/thumb_link1.STL,,midfinger-3,Origin_thumb_joint1,Axis_thumb_joint1,thumb_joint1,revolute,-0.043397,0.054047,0.01932,0.87388,0.045212,1.5421,palm_link,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
thumb_link2,0.00776491096542914,0.0196806505323827,-0.000219933657724693,0,0,0,0.0584744149508582,4.13565778419691E-06,-1.47109498906188E-07,3.97502678654692E-09,1.20799914295799E-06,1.66062681779658E-07,3.95233199235737E-06,0,0,0,0,0,0,package://human_gripper/meshes/thumb_link2.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/thumb_link2.STL,,fingertip-2,Origin_thumb_joint2,Axis_thumb_joint2,thumb_joint2,revolute,0,0.01,0,0,0,0,thumb_link1,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
index_link1,0.00933728052580867,-0.00903716742958732,-2.96028299798E-18,0,0,0,0.0492845244427773,3.81144161579786E-06,-1.63250192709408E-07,1.11280468297742E-22,1.1797655035283E-06,7.91973255189714E-22,3.78725662125011E-06,0,0,0,0,0,0,package://human_gripper/meshes/index_link1.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/index_link1.STL,,midfinger-1,Origin_index_joint1,Axis_index_joint1,index_joint1,revolute,-0.022786,0.10973,0,0,0,-3.1416,palm_link,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
index_link2,-0.00488671947419137,0.00903716742958732,6.95315974962666E-18,0,0,0,0.0492845244427774,3.81144161579786E-06,1.63250192709402E-07,7.50127380606275E-23,1.1797655035283E-06,-1.26694764744726E-21,3.7872566212501E-06,0,0,0,0,0,0,package://human_gripper/meshes/index_link2.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/index_link2.STL,,midfinger-2,Origin_index_joint2,Axis_index_joint2,index_joint2,revolute,0.00254,-0.01905,0,0,0,-3.1416,index_link1,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
index_link3,-0.00613864169175579,0.0106306443706335,-0.000219930065790364,0,0,0,0.0584743357750474,4.13565127579707E-06,-1.471099722789E-07,3.97564171396168E-09,1.20799696989037E-06,1.66066676079325E-07,3.95232466111938E-06,0,0,0,0,0,0,package://human_gripper/meshes/index_link3.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/index_link3.STL,,fingertip-1,Origin_index_joint3,Axis_index_joint3,index_joint3,revolute,0,0.01905,0,0,0,0,index_link2,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
middle_link1,0.00933728052580868,-0.00903716742958727,-3.10176149081067E-18,0,0,0,0.0492845244427773,3.81144161579786E-06,-1.63250192709408E-07,-1.42546473729865E-23,1.1797655035283E-06,1.13217574228451E-21,3.78725662125011E-06,0,0,0,0,0,0,package://human_gripper/meshes/middle_link1.STL,1,0.807843137254902,0.498039215686275,1,0,0,0,0,0,0,package://human_gripper/meshes/middle_link1.STL,,midfinger-5,Origin_middle_joint1,Axis_middle_joint1,middle_joint1,revolute,-0.00127,0.10795,0,0,0,-3.1416,palm_link,1,0,0,0,0,-1.1618,1.1618,,,,,,,,
